CountyNo;CountyName;State;Fips;Site;Lat;Long;Population;Area;Density;Infected
1;autauga;Alabama;1;1;32.5;-86.502;43671;596;79.6;35
2;baldwin;Alabama;1;3;30.565;-87.761;140415;1596.4;98.2;210
3;barbour;Alabama;1;5;31.848;-85.307;29038;884.9;32.3;99
4;bibb;Alabama;1;7;33.026;-87.127;20826;623;34.2;143
5;blount;Alabama;1;9;33.963;-86.583;51024;645.6;85.2;162
6;bullock;Alabama;1;11;32.114;-85.703;11714;624.1;18;335
7;butler;Alabama;1;13;31.772;-86.656;21399;776.9;26.7;224
8;calhoun;Alabama;1;15;33.722;-85.822;112249;608.5;184.8;77
9;chambers;Alabama;1;17;32.861;-85.266;36583;597.2;59.6;283
10;cherokee;Alabama;1;19;34.18;-85.627;23988;553.1;44.3;55
11;chilton;Alabama;1;21;32.874;-86.69;39593;694;59.8;205
12;choctaw;Alabama;1;23;32.023;-88.262;15922;913.5;16.7;65
13;clarke;Alabama;1;25;31.688;-87.815;27867;1238.4;22.1;386
14;clay;Alabama;1;27;33.271;-85.819;14254;605.1;23.3;3
15;cleburne;Alabama;1;29;33.623;-85.501;14123;560.2;25.8;53
16;coffee;Alabama;1;31;31.357;-85.916;43615;679;66.3;61
17;colbert;Alabama;1;33;34.723;-87.687;54984;594.5;92.2;99
18;conecuh;Alabama;1;35;31.417;-86.996;14089;850.8;15.8;112
19;coosa;Alabama;1;37;32.979;-86.152;12202;652.4;17.4;25
20;covington;Alabama;1;39;31.284;-86.411;37631;1033.8;35.7;94
21;crenshaw;Alabama;1;41;31.742;-86.298;13665;609.6;22.3;67
22;cullman;Alabama;1;43;34.162;-86.832;77483;738.4;107.2;242
23;dale;Alabama;1;45;31.388;-85.642;49129;561.1;87.5;46
24;dallas;Alabama;1;47;32.406;-87.035;46365;980.7;45.8;91
25;de kalb;Alabama;1;49;34.46;-85.81;64452;777.9;86;249
26;elmore;Alabama;1;51;32.565;-86.218;65874;621.3;115.8;26
27;escambia;Alabama;1;53;31.086;-87.282;38440;947.4;40.5;193
28;etowah;Alabama;1;55;34.015;-86.024;103459;534.8;193.1;76
29;fayette;Alabama;1;57;33.724;-87.771;18495;627.7;29.1;193
30;franklin;Alabama;1;59;34.458;-87.8;31223;635.6;48.5;200
31;geneva;Alabama;1;61;31.094;-85.795;25764;576.3;44.4;279
32;greene;Alabama;1;63;32.83;-87.927;9974;645.9;15.1;156
33;hale;Alabama;1;65;32.772;-87.63;17185;643.7;28.4;302
34;henry;Alabama;1;67;31.49;-85.266;16310;561.8;29.7;64
35;houston;Alabama;1;69;31.205;-85.387;88787;580.4;160.2;338
36;jackson;Alabama;1;71;34.734;-85.94;53926;1078.7;49.9;65
37;jefferson;Alabama;1;73;33.521;-86.818;662047;1112.6;591.8;134
38;lamar;Alabama;1;75;33.765;-88.109;15904;604.8;24.8;284
39;lauderdale;Alabama;1;77;34.867;-87.609;87966;669.5;130.7;27
40;lawrence;Alabama;1;79;34.548;-87.275;34803;693.4;49.6;190
41;lee;Alabama;1;81;32.592;-85.353;115092;608.7;198.3;196
42;limestone;Alabama;1;83;34.822;-86.954;65676;568;122.1;252
43;lowndes;Alabama;1;85;32.163;-86.621;13473;717.9;18.4;88
44;macon;Alabama;1;87;32.424;-85.71;24105;610.5;38;8
45;madison;Alabama;1;89;34.743;-86.606;276700;804.9;364.1;81
46;marengo;Alabama;1;91;32.34;-87.803;22539;977;22.6;181
47;marion;Alabama;1;93;34.112;-87.874;31214;741.4;40.8;214
48;marshall;Alabama;1;95;34.315;-86.297;82231;567.1;149.5;97
49;mobile;Alabama;1;97;30.686;-88.16;399843;1233.1;324.8;42
50;monroe;Alabama;1;99;31.512;-87.359;24324;1025.9;23.1;19
51;montgomery;Alabama;1;101;32.347;-86.258;223510;789.8;281.8;63
52;morgan;Alabama;1;103;34.515;-86.929;111064;582;194.5;45
53;perry;Alabama;1;105;32.583;-87.368;11861;719.5;16;216
54;pickens;Alabama;1;107;33.288;-88.076;20949;881.4;23.1;29
55;pike;Alabama;1;109;31.784;-85.943;29605;671.9;43.7;250
56;randolph;Alabama;1;111;33.252;-85.42;22380;581;38.9;41
57;russell;Alabama;1;113;32.421;-85.07;49756;641.3;76.8;133
58;st clair;Alabama;1;115;33.665;-86.353;64742;633.8;110.8;326
59;shelby;Alabama;1;117;33.29;-86.737;143293;794.7;208.5;335
60;sumter;Alabama;1;119;32.567;-88.235;14798;904.9;15.6;14
61;talladega;Alabama;1;121;33.365;-86.174;80321;739.5;108.6;48
62;tallapoosa;Alabama;1;123;32.857;-85.862;41475;717.9;56.9;52
63;tuscaloosa;Alabama;1;125;33.213;-87.524;164875;1324.4;126.2;67
64;walker;Alabama;1;127;33.831;-87.251;70713;794.4;88.1;122
65;washington;Alabama;1;129;31.414;-88.184;18097;1080.7;16.6;185
66;wilcox;Alabama;1;131;32.003;-87.377;13183;888.7;14.6;177
67;winston;Alabama;1;133;34.166;-87.424;24843;614.4;39.8;70
68;apache;Arizona;4;1;35.646;-109.413;69423;11204.9;6.1;130
69;cochise;Arizona;4;3;31.61;-110.047;117755;6169.4;20.1;88
70;coconino;Arizona;4;5;35.548;-111.575;116320;18617.4;6.6;85
71;gila;Arizona;4;7;33.8;-110.996;51335;4767.7;10.8;402
72;graham;Arizona;4;9;32.874;-109.816;33489;4629.3;7.1;424
73;greenlee;Arizona;4;11;32.961;-109.242;8547;1847;4.1;331
74;maricopa;Arizona;4;13;33.496;-112.022;3072149;9203.2;380.4;84
75;mohave;Arizona;4;15;35.04;-114.267;155032;13305.9;13.5;98
76;navajo;Arizona;4;17;34.977;-110.224;97470;9953.2;10.7;100
77;pima;Arizona;4;19;32.226;-110.96;843746;9186.3;98.7;160
78;pinal;Arizona;4;21;33.043;-111.506;179727;5369.6;39.9;42
79;santa cruz;Arizona;4;23;31.422;-110.938;38381;1237.6;33;128
80;yavapai;Arizona;4;25;34.625;-112.259;167517;8123.3;23.5;90
81;yuma;Arizona;4;27;32.663;-114.59;160026;5514.1;31.9;470
82;arkansas;Arkansas;5;1;34.403;-91.459;20749;988.5;20.4;322
83;ashley;Arkansas;5;3;33.177;-91.866;24209;921.1;25.7;41
84;baxter;Arkansas;5;5;36.333;-92.383;38386;554.4;71.8;6
85;benton;Arkansas;5;7;36.338;-94.229;153406;845.4;212.6;48
86;boone;Arkansas;5;9;36.264;-93.099;33948;591.2;59.6;194
87;bradley;Arkansas;5;11;33.563;-92.104;12600;650.6;19;101
88;calhoun;Arkansas;5;13;33.591;-92.49;5744;628.3;8.8;370
89;carroll;Arkansas;5;15;36.372;-93.569;25357;630.3;42.1;245
90;chicot;Arkansas;5;17;33.325;-91.322;14117;644.4;20.6;411
91;clark;Arkansas;5;19;34.09;-93.122;23546;865.4;26.7;365
92;clay;Arkansas;5;21;36.372;-90.381;17609;639.3;26.2;93
93;cleburne;Arkansas;5;23;35.512;-92.038;24046;553.1;45.3;28
94;cleveland;Arkansas;5;25;33.914;-92.146;8571;597.7;14.8;37
95;columbia;Arkansas;5;27;33.259;-93.246;25603;766.1;32.3;156
96;conway;Arkansas;5;29;35.212;-92.706;20336;556.1;37;75
97;craighead;Arkansas;5;31;35.835;-90.665;82148;710.8;121.3;11
98;crawford;Arkansas;5;33;35.497;-94.283;53247;595.4;95;373
99;crittenden;Arkansas;5;35;35.178;-90.221;50866;609.4;84.5;199
100;cross;Arkansas;5;37;35.256;-90.771;19526;615.8;31;10
101;dallas;Arkansas;5;39;33.87;-92.526;9210;667.4;13;154
102;desha;Arkansas;5;41;33.775;-91.413;15341;765;19.2;54
103;drew;Arkansas;5;43;33.628;-91.778;18723;828.2;22.4;527
104;faulkner;Arkansas;5;45;35.105;-92.403;86014;647.4;146.9;335
105;franklin;Arkansas;5;47;35.442;-93.89;17771;609.6;29.6;249
106;fulton;Arkansas;5;49;36.379;-91.757;11642;618.2;19.3;54
107;garland;Arkansas;5;51;34.508;-93.08;88068;677.2;136.1;118
108;grant;Arkansas;5;53;34.307;-92.412;16464;631.8;27.3;79
109;greene;Arkansas;5;55;36.077;-90.523;37331;577.5;67.5;7
110;hempstead;Arkansas;5;57;33.701;-93.624;23587;728.8;32.2;437
111;hot spring;Arkansas;5;59;34.354;-92.891;30353;614.9;49.8;22
112;howard;Arkansas;5;61;33.981;-93.912;14300;587.4;24.6;91
113;independence;Arkansas;5;63;35.748;-91.609;34233;763.8;45.4;69
114;izard;Arkansas;5;65;36.124;-91.909;13249;580.7;23;420
115;jackson;Arkansas;5;67;35.622;-91.243;18418;633.5;27.3;254
116;jefferson;Arkansas;5;69;34.232;-92.036;84278;884.8;93.4;23
117;johnson;Arkansas;5;71;35.476;-93.475;22781;662.2;35.8;97
118;lafayette;Arkansas;5;73;33.294;-93.551;8559;526.5;15.6;27
119;lawrence;Arkansas;5;75;36.068;-91.062;17774;586.6;29.7;73
120;lee;Arkansas;5;77;34.786;-90.773;12580;601.7;19.5;296
121;lincoln;Arkansas;5;79;33.983;-91.755;14492;561.4;25.6;57
122;little river;Arkansas;5;81;33.699;-94.197;13628;531.7;24.9;49
123;logan;Arkansas;5;83;35.227;-93.77;22486;709.9;32.3;5
